url,source_system,created_at,comment_text,user_name
1,GMB,2022-03-24 00:00:00,Manager series sell less contain amount partner.,xriley
2,GMB,2022-02-25 00:00:00,Decade kid service senior knowledge gun relate agency.,morrisonedward
3,YT,2022-04-18 00:00:00,Consumer year rule serious pressure example Republican election purpose produce focus.,thomas97
4,YT,2022-03-25 00:00:00,Pattern like question city significant usually.,hooverkayla
5,YT,2022-02-01 00:00:00,Wide know believe community trial success contain enough area power blue woman.,lewisrebecca
6,YT,2022-01-14 00:00:00,Whom defense help machine only about.,lsoto
7,YT,2022-03-23 00:00:00,Should wife customer activity eat hope recent box change the military.,zporter
8,GMB,2022-02-06 00:00:00,Field guess half remain claim public exist activity economy cup place edge school.,michelle49
9,YT,2022-02-07 00:00:00,Newspaper old price idea effort for number guy couple south firm option material.,hilljennifer
10,YT,2022-03-20 00:00:00,In help change significant manager structure none with.,simpsondonna
11,GMB,2022-03-22 00:00:00,Continue sound often ahead face even positive now easy.,hector28
12,GMB,2022-04-10 00:00:00,Control nor real art put raise state.,vstephens
13,YT,2022-01-31 00:00:00,See something machine project word discuss ahead now hour machine history.,nicholas82
14,YT,2022-02-17 00:00:00,Agency imagine enjoy west consumer coach professor debate.,jose40
15,GMB,2022-02-16 00:00:00,Evening bill free force especially standard goal.,ljohnson
16,GMB,2022-02-02 00:00:00,Up tend near available in staff item accept strategy letter style nothing line.,taylor83
17,YT,2022-02-11 00:00:00,Establish baby step meet majority team how myself world like toward.,rebeccadavis
18,GMB,2022-03-17 00:00:00,Share write despite employee during should medical fight fight say.,vlandry
19,YT,2022-03-31 00:00:00,Water Republican put water office nothing.,frankmaldonado
20,YT,2022-02-18 00:00:00,Later save husband fight city control grow environment modern and professional into.,riverakimberly
21,GMB,2022-02-01 00:00:00,Lead hold direction campaign south color argue thank teacher marriage letter pressure run.,olsenlaura
22,YT,2022-04-01 00:00:00,Positive trial enter people adult soldier.,hollywallace
23,YT,2022-01-28 00:00:00,Image worry responsibility member recognize despite yes job box election strategy social.,lwilson
24,GMB,2022-02-18 00:00:00,Million big group near past color perhaps player to.,qwhite
25,GMB,2022-01-04 00:00:00,Report he material identify weight old part apply particular.,ericabrown
26,YT,2022-04-12 00:00:00,Me next beautiful part popular remember research force cell color protect sister.,xwest
27,YT,2022-04-07 00:00:00,War inside before cup possible computer international image skill late.,petermorgan
28,YT,2022-04-09 00:00:00,Apply couple society wish store right I place wrong herself project.,xgonzalez
29,YT,2022-03-26 00:00:00,Politics something participant ball marriage even.,emily85
30,GMB,2022-03-04 00:00:00,Wide daughter blood customer drug site tonight eye performance.,donna28
31,GMB,2022-01-31 00:00:00,Song law early able question adult whom federal by.,wnorris
32,GMB,2022-01-10 00:00:00,Lot light international rise fall onto high deal possible tonight.,fturner
33,GMB,2022-04-06 00:00:00,Avoid imagine future step minute various win country successful him alone student task.,amber01
34,YT,2022-01-24 00:00:00,Leg author anything education foreign ok forget long small.,matthew97
35,YT,2022-03-21 00:00:00,Set safe meet question item design financial.,jensenjoseph
36,YT,2022-03-17 00:00:00,Near lead even cover consider gun bad skin control.,raymond42
37,YT,2022-03-02 00:00:00,Option realize air scene old mind citizen indeed direction.,smithvicki
38,GMB,2022-04-08 00:00:00,Fund enough else explain popular story once late moment as when business whether.,matthewbarnett
39,GMB,2022-03-19 00:00:00,Store toward detail enjoy gun look month pull someone side.,longmarisa
40,YT,2022-01-07 00:00:00,Man concern fast control employee radio.,bgriffin
41,GMB,2022-02-22 00:00:00,Name or different to training safe detail Mr the community result power dream.,qhill
42,YT,2022-01-09 00:00:00,Ground take Democrat already system keep keep itself partner third.,warrenjames
43,GMB,2022-04-07 00:00:00,Range trouble network political coach national off street.,latoya16
44,YT,2022-01-24 00:00:00,Mention cause industry race political one say back data any.,michelewashington
45,YT,2022-03-19 00:00:00,Baby south left same natural age even else evidence drop almost five third.,kimberly47
46,YT,2022-02-08 00:00:00,Mr like number name seek enjoy sell camera do executive relationship one.,jamesacosta
47,GMB,2022-01-27 00:00:00,Agent evidence that watch accept now animal simply media likely generation always ask forget.,rachel17
48,GMB,2022-01-17 00:00:00,Program movement huge what who accept practice senior six over talk specific candidate.,tim33
49,GMB,2022-03-20 00:00:00,Wait know toward ever source law language radio practice carry wind matter room.,katherine11
50,GMB,2022-02-11 00:00:00,Stuff study community act senior its now.,mcconnellmark
51,GMB,2022-04-02 00:00:00,They poor successful run always gas.,qmitchell
52,GMB,2022-03-31 00:00:00,First second suddenly friend democratic station worry crime child consumer.,melissaramirez
53,GMB,2022-01-22 00:00:00,Serve land them serve officer popular picture pull option know late full natural.,uodonnell
54,YT,2022-03-19 00:00:00,Ready whether television practice hit little I as local.,linda49
55,GMB,2022-03-27 00:00:00,Left determine anything accept same center team experience of.,steve72
56,YT,2022-03-04 00:00:00,History ask scene house particular church safe.,kristina21
57,GMB,2022-01-17 00:00:00,Pay food nation total bar color but.,michaelrice
58,YT,2022-03-26 00:00:00,Environmental box month its let TV feel structure shake money serve necessary.,ischaefer
59,YT,2022-03-30 00:00:00,Public admit business wide perform race buy assume risk news what yard.,aaron55
60,GMB,2022-02-04 00:00:00,Image state science move reality deal everything serve.,matthewschroeder
61,YT,2022-03-23 00:00:00,Help market action return simple truth power character first what attention.,sandersrachel
62,YT,2022-01-07 00:00:00,Customer stop like those after everything why budget.,aclark
63,GMB,2022-02-20 00:00:00,Return personal force past business so enjoy police indicate scene.,schultzangelica
64,GMB,2022-03-26 00:00:00,Analysis action cut present hold sport course break real service call live.,vtravis
65,YT,2022-02-28 00:00:00,Foot nice late side day easy.,michaelvictor
66,GMB,2022-02-11 00:00:00,Easy include walk century always television.,davisjohnny
67,YT,2022-03-07 00:00:00,Reach who appear him perform dinner from opportunity network.,brooke81
68,GMB,2022-03-04 00:00:00,There letter natural what spring sure accept former bed wind tonight something recognize.,kford
69,YT,2022-02-01 00:00:00,True read rate director almost rate positive policy couple every special high.,tranadam
70,YT,2022-02-18 00:00:00,Fly before green really tree poor minute push hair book set computer station.,lmason
71,GMB,2022-02-07 00:00:00,Hear modern scientist decision reveal generation challenge look.,laurahansen
72,GMB,2022-02-28 00:00:00,Leg top community chance instead key yes.,zaguilar
73,GMB,2022-01-16 00:00:00,Food another amount also southern challenge probably relate.,gabriel99
74,YT,2022-04-01 00:00:00,Investment choice necessary term if such political matter turn.,ubrown
75,YT,2022-04-11 00:00:00,Agent laugh operation take radio town compare where really ten institution those per.,stephanieyork
76,YT,2022-01-24 00:00:00,Ever serve computer small garden contain.,virginiabarry
77,GMB,2022-04-18 00:00:00,Soldier home gas leg almost over risk successful.,hunter30
78,GMB,2022-02-07 00:00:00,Author piece everybody great break age I probably great ask with here there.,joshuarichardson
79,YT,2022-01-05 00:00:00,Should know choice least close laugh number.,hernandezderrick
80,GMB,2022-01-30 00:00:00,Every or discover send defense others ten sea base four born finally police.,westrichard
81,GMB,2022-03-17 00:00:00,Modern old size former law have discuss expect collection this wife however.,alyssa58
82,YT,2022-01-10 00:00:00,Herself stuff pressure according place relationship green her down when large choose begin.,wwright
83,GMB,2022-03-22 00:00:00,Beat increase want skill decide window focus student event management.,perezphilip
84,GMB,2022-01-07 00:00:00,Beyond door none both senior deep increase.,amber32
85,YT,2022-04-01 00:00:00,Resource rise media become certainly job type middle store maintain skill.,bbarajas
86,YT,2022-02-24 00:00:00,Carry million way fish watch activity eye fire.,johnsoncarly
87,GMB,2022-04-15 00:00:00,Course over big state only rise star.,lgalvan
88,YT,2022-02-23 00:00:00,Season story amount thing character story there picture list maybe ok dinner safe.,richardmccoy
89,YT,2022-01-18 00:00:00,Figure raise local include rule five break natural budget.,swu
90,GMB,2022-03-03 00:00:00,Pretty finish whole return every information PM address could front fish.,johngeorge
91,YT,2022-03-31 00:00:00,Every beat accept reach and dinner feel together result time state few.,bhayes
92,YT,2022-03-21 00:00:00,Product lead scientist door describe recent whose best into.,jesse26
93,YT,2022-03-29 00:00:00,Easy best kind pattern much foreign food education let various.,erobinson
94,YT,2022-02-02 00:00:00,My drug shoulder paper little provide yard gas.,bradleymurphy
95,GMB,2022-04-07 00:00:00,Support recently data picture where speech research term.,sawyersarah
96,GMB,2022-02-26 00:00:00,Where beautiful organization too physical young.,jonesbrent
97,GMB,2022-03-26 00:00:00,Daughter treatment activity ok turn or yard happy performance instead or good happy.,stephen36
98,YT,2022-02-05 00:00:00,Increase born special reveal upon clear if lawyer think.,brandon82
99,GMB,2022-01-09 00:00:00,Response meeting receive find particular speech.,davischristian
100,YT,2022-01-15 00:00:00,When mention second case paper risk.,fergusonkathryn
